country,season_start,team_a,team_b,is_rival
England,2017,chelsea,man utd,TRUE
France,2020,nîmes olympique,stade reims,TRUE
Italy,2023,cagliari,genoa,TRUE
Spain,2018,rayo vallecano,sd huesca,TRUE
Spain,2018,rayo vallecano,real valladolid,TRUE
Spain,2018,real valladolid,sd huesca,TRUE
Germany,2019,freiburg,mainz,TRUE
Germany,2019,freiburg,mönchengladbach,TRUE
Germany,2019,mainz,werder bremen,TRUE
Spain,2021,cádiz cf,elche cf,TRUE
Germany,2020,freiburg,mainz,TRUE
Germany,2020,mainz,werder bremen,TRUE
Germany,2018,frankfurt,werder bremen,TRUE
Germany,2018,mönchengladbach,werder bremen,TRUE
France,2018,fc nantes,stade rennais,TRUE
England,2023,brighton,newcastle,TRUE
England,2023,brighton,crystal palace,TRUE
England,2023,brighton,west ham,TRUE
England,2023,brighton,everton,TRUE
England,2023,crystal palace,newcastle,TRUE
England,2023,newcastle,west ham,TRUE
England,2023,everton,newcastle,TRUE
England,2023,arsenal,newcastle,TRUE
Germany,2020,frankfurt,hoffenheim,TRUE
Germany,2020,hoffenheim,mönchengladbach,TRUE
Spain,2020,cádiz cf,elche cf,TRUE
Italy,2018,fiorentina,torino,TRUE
Italy,2018,atalanta,fiorentina,TRUE
Italy,2018,atalanta,torino,TRUE
Italy,2018,sampdoria,torino,TRUE
Italy,2018,ac milan,torino,TRUE
England,2018,man city,man utd,TRUE
England,2019,man utd,tottenham,TRUE
England,2019,liverpool,man utd,TRUE
England,2019,man city,man utd,TRUE
England,2019,liverpool,tottenham,TRUE
England,2019,man city,tottenham,TRUE
Spain,2020,athletic club,real sociedad,TRUE
Spain,2020,athletic club,celta de vigo,TRUE
Spain,2020,celta de vigo,real sociedad,TRUE
Spain,2020,real betis,real sociedad,TRUE
Spain,2020,real sociedad,villarreal,TRUE
England,2021,everton,leicester,TRUE
England,2021,everton,west ham,TRUE
England,2021,everton,southampton,TRUE
England,2021,leicester,west ham,TRUE
England,2021,arsenal,leicester,TRUE
France,2019,fc nantes,stade rennais,TRUE
England,2023,luton,sheff utd,TRUE
France,2019,dijon,g. bordeaux,TRUE
Italy,2020,sampdoria,sassuolo,TRUE
England,2021,chelsea,tottenham,TRUE
England,2021,arsenal,chelsea,TRUE
England,2021,chelsea,man utd,TRUE
England,2021,chelsea,liverpool,TRUE
England,2021,arsenal,tottenham,TRUE
England,2021,man utd,tottenham,TRUE
England,2021,liverpool,tottenham,TRUE
England,2017,man city,man utd,TRUE
Italy,2018,fc empoli,parma,TRUE
Italy,2018,fc empoli,frosinone,TRUE
Italy,2018,frosinone,parma,TRUE
England,2024,brighton,newcastle,TRUE
England,2024,brighton,crystal palace,TRUE
England,2024,brighton,west ham,TRUE
England,2024,brighton,everton,TRUE
England,2024,crystal palace,newcastle,TRUE
England,2024,newcastle,west ham,TRUE
England,2024,everton,newcastle,TRUE
England,2024,man utd,newcastle,TRUE
France,2019,lyon,marseille,TRUE
France,2019,lyon,monaco,TRUE
France,2019,marseille,monaco,TRUE
Germany,2019,frankfurt,werder bremen,TRUE
Germany,2019,mönchengladbach,werder bremen,TRUE
Germany,2020,freiburg,werder bremen,TRUE
England,2020,chelsea,man utd,TRUE
England,2020,arsenal,chelsea,TRUE
England,2020,chelsea,tottenham,TRUE
England,2020,chelsea,liverpool,TRUE
England,2020,man utd,tottenham,TRUE
England,2020,arsenal,man utd,TRUE
England,2020,liverpool,man utd,TRUE
England,2020,man city,man utd,TRUE
Italy,2023,bologna,udinese,TRUE
Italy,2023,bologna,torino,TRUE
Italy,2023,bologna,fiorentina,TRUE
Italy,2023,bologna,sassuolo,TRUE
Italy,2023,sassuolo,udinese,TRUE
Italy,2023,torino,udinese,TRUE
Italy,2023,fiorentina,udinese,TRUE
France,2020,fc nantes,g. bordeaux,TRUE
Italy,2024,parma,venezia,TRUE
Italy,2024,como,parma,TRUE
Italy,2024,como,venezia,TRUE
France,2021,montpellier,nice,TRUE
France,2021,fc nantes,montpellier,TRUE
France,2021,montpellier,stade rennais,TRUE
France,2021,montpellier,saint-étienne,TRUE
France,2021,angers sco,montpellier,TRUE
France,2021,fc nantes,nice,TRUE
France,2021,nice,stade rennais,TRUE
France,2021,nice,r. strasbourg,TRUE
France,2021,nice,saint-étienne,TRUE
Italy,2017,ac milan,sampdoria,TRUE
England,2020,arsenal,tottenham,TRUE
Germany,2021,leipzig,leverkusen,TRUE
Germany,2021,dortmund,leipzig,TRUE
Germany,2021,frankfurt,leipzig,TRUE
Germany,2021,hoffenheim,leipzig,TRUE
Germany,2021,leipzig,mönchengladbach,TRUE
Germany,2021,hoffenheim,leverkusen,TRUE
Germany,2021,dortmund,leverkusen,TRUE
Germany,2021,leverkusen,mönchengladbach,TRUE
Germany,2021,frankfurt,leverkusen,TRUE
England,2021,arsenal,man utd,TRUE
Italy,2024,cagliari,genoa,TRUE
Spain,2019,getafe,sevilla fc,TRUE
Spain,2019,getafe,villarreal,TRUE
England,2020,liverpool,tottenham,TRUE
England,2022,everton,leicester,TRUE
England,2022,everton,west ham,TRUE
England,2022,everton,southampton,TRUE
England,2022,leicester,west ham,TRUE
England,2022,leicester,southampton,TRUE
Spain,2019,sevilla fc,villarreal,TRUE
Spain,2019,sevilla fc,valencia,TRUE
Germany,2018,frankfurt,stuttgart,TRUE
Germany,2018,frankfurt,mönchengladbach,TRUE
Spain,2021,athletic club,real sociedad,TRUE
Spain,2021,athletic club,celta de vigo,TRUE
Spain,2021,athletic club,getafe,TRUE
Spain,2021,athletic club,real betis,TRUE
Spain,2021,real betis,real sociedad,TRUE
Spain,2021,celta de vigo,real sociedad,TRUE
Spain,2021,real sociedad,villarreal,TRUE
France,2020,g. bordeaux,saint-étienne,TRUE
Italy,2019,atalanta,torino,TRUE
Italy,2019,ac milan,atalanta,TRUE
Italy,2019,atalanta,roma,TRUE
Germany,2021,freiburg,mainz,TRUE
France,2021,angers sco,r. strasbourg,TRUE
France,2021,angers sco,fc nantes,TRUE
France,2021,angers sco,g. bordeaux,TRUE
France,2021,fc nantes,r. strasbourg,TRUE
France,2021,r. strasbourg,stade rennais,TRUE
England,2022,chelsea,tottenham,TRUE
England,2022,chelsea,man utd,TRUE
England,2022,arsenal,chelsea,TRUE
England,2022,chelsea,liverpool,TRUE
England,2022,arsenal,tottenham,TRUE
England,2022,man utd,tottenham,TRUE
England,2022,liverpool,tottenham,TRUE
Italy,2023,lazio,roma,TRUE
Italy,2023,atalanta,lazio,TRUE
Italy,2023,ac milan,lazio,TRUE
Italy,2023,inter,lazio,TRUE
Italy,2023,juventus,lazio,TRUE
Italy,2023,atalanta,roma,TRUE
Italy,2023,juventus,roma,TRUE
Italy,2023,fiorentina,roma,TRUE
Italy,2023,ac milan,roma,TRUE
France,2021,fc nantes,stade rennais,TRUE
Italy,2020,atalanta,inter,TRUE
Italy,2020,atalanta,lazio,TRUE
Italy,2020,ac milan,atalanta,TRUE
Italy,2020,atalanta,roma,TRUE
Italy,2020,inter,lazio,TRUE
Italy,2020,inter,roma,TRUE
Italy,2020,ac milan,inter,TRUE
Italy,2020,inter,napoli,TRUE
Spain,2022,cádiz cf,elche cf,TRUE
France,2019,amiens sc,dijon,TRUE
France,2019,amiens sc,toulouse,TRUE
Italy,2018,atalanta,roma,TRUE
France,2019,dijon,toulouse,TRUE
Germany,2022,dortmund,leipzig,TRUE
Germany,2022,dortmund,leverkusen,TRUE
Germany,2022,leipzig,leverkusen,TRUE
Germany,2022,frankfurt,leipzig,TRUE
Italy,2022,lazio,roma,TRUE
Italy,2022,atalanta,lazio,TRUE
Italy,2022,inter,lazio,TRUE
Italy,2022,ac milan,lazio,TRUE
Italy,2022,juventus,lazio,TRUE
Italy,2022,atalanta,roma,TRUE
Italy,2022,juventus,roma,TRUE
Italy,2022,inter,roma,TRUE
Italy,2022,ac milan,roma,TRUE
Spain,2020,celta de vigo,real betis,TRUE
Italy,2020,lazio,roma,TRUE
Italy,2020,ac milan,lazio,TRUE
Italy,2022,fc empoli,salernitana,TRUE
Germany,2021,freiburg,mönchengladbach,TRUE
England,2023,crystal palace,west ham,TRUE
England,2023,crystal palace,everton,TRUE
Italy,2018,ac milan,sampdoria,TRUE
Italy,2024,lazio,roma,TRUE
Italy,2024,atalanta,lazio,TRUE
Italy,2024,ac milan,lazio,TRUE
Italy,2024,juventus,lazio,TRUE
Italy,2024,fiorentina,lazio,TRUE
Italy,2024,atalanta,roma,TRUE
Italy,2024,juventus,roma,TRUE
Italy,2024,fiorentina,roma,TRUE
Italy,2024,ac milan,roma,TRUE
England,2021,liverpool,man utd,TRUE
Spain,2024,getafe,valencia,TRUE
Spain,2024,celta de vigo,getafe,TRUE
Spain,2024,getafe,sevilla fc,TRUE
Spain,2024,celta de vigo,valencia,TRUE
Spain,2024,sevilla fc,valencia,TRUE
Spain,2024,athletic club,valencia,TRUE
Italy,2021,sampdoria,sassuolo,TRUE
Italy,2021,fiorentina,sassuolo,TRUE
Italy,2021,lazio,roma,TRUE
Italy,2021,atalanta,lazio,TRUE
Italy,2021,inter,lazio,TRUE
Italy,2021,ac milan,lazio,TRUE
Italy,2021,atalanta,roma,TRUE
Italy,2021,inter,roma,TRUE
Italy,2021,ac milan,roma,TRUE
Italy,2021,juventus,roma,TRUE
Germany,2019,frankfurt,mönchengladbach,TRUE
Germany,2023,dortmund,leipzig,TRUE
Germany,2023,dortmund,leverkusen,TRUE
Germany,2023,bayern munich,dortmund,TRUE
Germany,2023,leipzig,leverkusen,TRUE
Germany,2023,frankfurt,leipzig,TRUE
France,2022,fc nantes,r. strasbourg,TRUE
France,2022,angers sco,fc nantes,TRUE
France,2022,fc nantes,montpellier,TRUE
France,2022,fc nantes,nice,TRUE
France,2022,fc nantes,stade rennais,TRUE
France,2022,nice,r. strasbourg,TRUE
France,2022,angers sco,r. strasbourg,TRUE
France,2022,montpellier,r. strasbourg,TRUE
France,2022,r. strasbourg,stade rennais,TRUE
France,2023,fc nantes,r. strasbourg,TRUE
France,2023,fc nantes,montpellier,TRUE
France,2023,fc nantes,nice,TRUE
France,2023,nice,r. strasbourg,TRUE
France,2023,montpellier,r. strasbourg,TRUE
Italy,2019,fiorentina,torino,TRUE
Italy,2019,fiorentina,sampdoria,TRUE
Italy,2019,sampdoria,torino,TRUE
Italy,2019,ac milan,torino,TRUE
Spain,2019,valencia,villarreal,TRUE
England,2024,crystal palace,everton,TRUE
England,2024,crystal palace,west ham,TRUE
Italy,2022,atalanta,inter,TRUE
Italy,2022,ac milan,atalanta,TRUE
Italy,2022,atalanta,juventus,TRUE
Germany,2024,dortmund,leipzig,TRUE
Germany,2024,dortmund,leverkusen,TRUE
Germany,2024,bayern munich,dortmund,TRUE
Germany,2024,leipzig,leverkusen,TRUE
Germany,2024,frankfurt,leipzig,TRUE
Spain,2020,getafe,villarreal,TRUE
Spain,2020,getafe,valencia,TRUE
Italy,2024,atalanta,juventus,TRUE
Italy,2024,ac milan,atalanta,TRUE
Italy,2024,atalanta,inter,TRUE
Germany,2021,frankfurt,hoffenheim,TRUE
Germany,2021,hoffenheim,mönchengladbach,TRUE
Italy,2023,fiorentina,sassuolo,TRUE
Italy,2023,sassuolo,torino,TRUE
Italy,2021,atalanta,inter,TRUE
Italy,2021,ac milan,atalanta,TRUE
Italy,2021,atalanta,juventus,TRUE
Italy,2020,juventus,roma,TRUE
Italy,2019,brescia,lecce,TRUE
Spain,2021,getafe,valencia,TRUE
Spain,2021,getafe,villarreal,TRUE
France,2022,clermont foot,troyes,TRUE
Spain,2023,getafe,valencia,TRUE
Spain,2023,celta de vigo,getafe,TRUE
Spain,2023,athletic club,getafe,TRUE
Spain,2023,celta de vigo,valencia,TRUE
Spain,2023,valencia,villarreal,TRUE
Spain,2018,atlético,real madrid,TRUE
Spain,2018,atlético,valencia,TRUE
Spain,2018,atlético,barcelona,TRUE
Spain,2018,barcelona,real madrid,TRUE
Spain,2018,real madrid,valencia,TRUE
Italy,2022,sampdoria,sassuolo,TRUE
Italy,2022,fiorentina,sassuolo,TRUE
Italy,2022,sassuolo,torino,TRUE
Italy,2020,sampdoria,torino,TRUE
Italy,2020,fiorentina,sampdoria,TRUE
Spain,2023,real betis,real sociedad,TRUE
Spain,2023,real betis,villarreal,TRUE
Spain,2023,athletic club,real betis,TRUE
Spain,2023,celta de vigo,real betis,TRUE
Spain,2023,real betis,sevilla fc,TRUE
Spain,2023,real sociedad,villarreal,TRUE
Spain,2023,athletic club,real sociedad,TRUE
Spain,2023,celta de vigo,real sociedad,TRUE
Spain,2023,real sociedad,sevilla fc,TRUE
Italy,2023,atalanta,inter,TRUE
Italy,2023,ac milan,atalanta,TRUE
Italy,2023,atalanta,juventus,TRUE
France,2022,nice,stade rennais,TRUE
France,2022,montpellier,nice,TRUE
France,2022,marseille,nice,TRUE
France,2022,montpellier,stade rennais,TRUE
France,2022,marseille,stade rennais,TRUE
Italy,2023,fiorentina,torino,TRUE
Germany,2022,freiburg,mainz,TRUE
Germany,2022,hoffenheim,mainz,TRUE
Germany,2022,mainz,mönchengladbach,TRUE
France,2023,nice,stade rennais,TRUE
France,2023,montpellier,nice,TRUE
France,2023,lyon,nice,TRUE
France,2023,marseille,stade rennais,TRUE
France,2023,montpellier,stade rennais,TRUE
France,2023,lyon,stade rennais,TRUE
France,2023,lille,stade rennais,TRUE
England,2023,everton,west ham,TRUE
England,2023,tottenham,west ham,TRUE
Germany,2022,hoffenheim,leverkusen,TRUE
Germany,2022,leverkusen,mönchengladbach,TRUE
Germany,2022,frankfurt,leverkusen,TRUE
Spain,2017,atlético,real madrid,TRUE
Spain,2017,atlético,valencia,TRUE
Spain,2017,atlético,barcelona,TRUE
Spain,2017,barcelona,real madrid,TRUE
England,2022,arsenal,man utd,TRUE
England,2024,everton,west ham,TRUE
Spain,2023,sevilla fc,villarreal,TRUE
Spain,2023,athletic club,villarreal,TRUE
Italy,2020,fiorentina,torino,TRUE
Germany,2022,freiburg,mönchengladbach,TRUE
England,2024,tottenham,west ham,TRUE
Spain,2022,real betis,real sociedad,TRUE
Spain,2022,real betis,villarreal,TRUE
Spain,2022,athletic club,real betis,TRUE
Spain,2022,celta de vigo,real betis,TRUE
Spain,2022,real betis,sevilla fc,TRUE
Spain,2022,athletic club,real sociedad,TRUE
Spain,2022,real sociedad,villarreal,TRUE
Spain,2022,celta de vigo,real sociedad,TRUE
Spain,2022,real sociedad,sevilla fc,TRUE
Italy,2019,juventus,roma,TRUE
Italy,2023,fc empoli,salernitana,TRUE
France,2022,angers sco,montpellier,TRUE
England,2023,chelsea,everton,TRUE
Italy,2018,juventus,roma,TRUE
Italy,2022,fiorentina,torino,TRUE
Italy,2022,fiorentina,sampdoria,TRUE
Italy,2022,sampdoria,torino,TRUE
Spain,2022,athletic club,celta de vigo,TRUE
Spain,2022,athletic club,getafe,TRUE
Spain,2022,athletic club,villarreal,TRUE
Germany,2020,frankfurt,mönchengladbach,TRUE
Italy,2021,sampdoria,torino,TRUE
Italy,2024,bologna,fiorentina,TRUE
Italy,2024,bologna,udinese,TRUE
Italy,2024,bologna,torino,TRUE
Italy,2024,fiorentina,torino,TRUE
Italy,2024,fiorentina,udinese,TRUE
Italy,2021,fiorentina,torino,TRUE
Spain,2024,real betis,villarreal,TRUE
Spain,2024,real betis,real sociedad,TRUE
Spain,2024,athletic club,real betis,TRUE
Spain,2024,celta de vigo,real betis,TRUE
Spain,2024,real betis,sevilla fc,TRUE
Spain,2024,real sociedad,villarreal,TRUE
Spain,2024,athletic club,villarreal,TRUE
Spain,2024,sevilla fc,villarreal,TRUE
Germany,2023,augsburg,mainz,TRUE
Germany,2023,augsburg,hoffenheim,TRUE
Germany,2023,augsburg,mönchengladbach,TRUE
Germany,2023,augsburg,freiburg,TRUE
Germany,2023,freiburg,mainz,TRUE
Germany,2023,mainz,mönchengladbach,TRUE
Germany,2023,hoffenheim,mainz,TRUE
Germany,2023,frankfurt,mainz,TRUE
Spain,2022,getafe,valencia,TRUE
Spain,2022,celta de vigo,getafe,TRUE
Spain,2022,valencia,villarreal,TRUE
Spain,2022,celta de vigo,valencia,TRUE
Spain,2024,athletic club,real sociedad,TRUE
Spain,2024,real sociedad,sevilla fc,TRUE
Spain,2024,celta de vigo,real sociedad,TRUE
Spain,2019,atlético,real madrid,TRUE
Spain,2019,atlético,barcelona,TRUE
Spain,2019,atlético,valencia,TRUE
Spain,2019,barcelona,real madrid,TRUE
Spain,2021,celta de vigo,real betis,TRUE
Spain,2021,real betis,villarreal,TRUE
England,2022,liverpool,man utd,TRUE
Germany,2023,freiburg,mönchengladbach,TRUE
Germany,2023,frankfurt,freiburg,TRUE
England,2024,man utd,tottenham,TRUE
England,2024,arsenal,man utd,TRUE
England,2024,chelsea,man utd,TRUE
England,2024,arsenal,tottenham,TRUE
England,2024,chelsea,tottenham,TRUE
Italy,2021,ac milan,inter,TRUE
Italy,2021,inter,juventus,TRUE
Italy,2024,torino,udinese,TRUE
France,2020,lyon,marseille,TRUE
France,2020,lyon,monaco,TRUE
France,2020,marseille,monaco,TRUE
Germany,2024,freiburg,mainz,TRUE
Germany,2024,frankfurt,freiburg,TRUE
Germany,2024,freiburg,mönchengladbach,TRUE
Germany,2024,augsburg,freiburg,TRUE
Germany,2024,freiburg,hoffenheim,TRUE
Germany,2024,augsburg,mainz,TRUE
Germany,2024,mainz,mönchengladbach,TRUE
Germany,2024,frankfurt,mainz,TRUE
Germany,2024,hoffenheim,mainz,TRUE
Spain,2022,sevilla fc,villarreal,TRUE
Germany,2024,augsburg,hoffenheim,TRUE
Germany,2024,augsburg,mönchengladbach,TRUE
Italy,2022,cremonese,lecce,TRUE
Italy,2022,cremonese,monza,TRUE
Italy,2022,lecce,monza,TRUE
England,2023,man utd,tottenham,TRUE
England,2023,arsenal,man utd,TRUE
England,2023,chelsea,man utd,TRUE
England,2023,liverpool,man utd,TRUE
England,2023,arsenal,tottenham,TRUE
England,2023,chelsea,tottenham,TRUE
England,2023,liverpool,tottenham,TRUE
Spain,2020,sevilla fc,villarreal,TRUE
Spain,2020,sevilla fc,valencia,TRUE
France,2021,g. bordeaux,saint-étienne,TRUE
France,2024,nice,stade rennais,TRUE
France,2024,nice,r. strasbourg,TRUE
France,2024,lyon,nice,TRUE
France,2024,marseille,nice,TRUE
France,2024,lille,nice,TRUE
France,2024,marseille,stade rennais,TRUE
France,2024,lyon,stade rennais,TRUE
France,2024,montpellier,stade rennais,TRUE
France,2024,lille,stade rennais,TRUE
France,2024,fc nantes,r. strasbourg,TRUE
France,2024,fc nantes,montpellier,TRUE
France,2024,montpellier,r. strasbourg,TRUE
Germany,2023,hoffenheim,mönchengladbach,TRUE
Germany,2023,frankfurt,hoffenheim,TRUE
Germany,2023,hoffenheim,leverkusen,TRUE
Germany,2023,frankfurt,mönchengladbach,TRUE
Spain,2020,atlético,real madrid,TRUE
Spain,2020,atlético,barcelona,TRUE
Spain,2020,barcelona,real madrid,TRUE
Germany,2021,frankfurt,mönchengladbach,TRUE
Germany,2024,hoffenheim,mönchengladbach,TRUE
Germany,2024,frankfurt,mönchengladbach,TRUE
Spain,2023,athletic club,celta de vigo,TRUE
Spain,2021,valencia,villarreal,TRUE
Germany,2024,frankfurt,hoffenheim,TRUE
Italy,2017,juventus,roma,TRUE
Spain,2024,athletic club,celta de vigo,TRUE
Spain,2023,atlético,barcelona,TRUE
Spain,2023,atlético,real madrid,TRUE
Spain,2023,barcelona,real madrid,TRUE
Italy,2024,ac milan,juventus,TRUE
Italy,2024,inter,juventus,TRUE
France,2024,lyon,marseille,TRUE
France,2024,lyon,monaco,TRUE
France,2024,lille,lyon,TRUE
France,2024,marseille,monaco,TRUE
France,2024,lille,marseille,TRUE
Germany,2024,holstein kiel,st. pauli,TRUE
Germany,2022,hoffenheim,mönchengladbach,TRUE
Germany,2022,frankfurt,hoffenheim,TRUE
Germany,2022,frankfurt,mönchengladbach,TRUE
England,2019,liverpool,man city,TRUE
Spain,2022,atlético,barcelona,TRUE
Spain,2022,atlético,real madrid,TRUE
Spain,2022,atlético,sevilla fc,TRUE
Spain,2022,barcelona,real madrid,TRUE
Spain,2021,sevilla fc,villarreal,TRUE
Spain,2021,atlético,sevilla fc,TRUE
France,2023,lille,montpellier,TRUE
France,2022,ac ajaccio,aj auxerre,TRUE
France,2022,ac ajaccio,toulouse,TRUE
France,2022,aj auxerre,toulouse,TRUE
Spain,2024,atlético,barcelona,TRUE
Spain,2024,atlético,real madrid,TRUE
Spain,2024,barcelona,real madrid,TRUE
Italy,2020,ac milan,napoli,TRUE
France,2022,lyon,monaco,TRUE
France,2022,lyon,marseille,TRUE
France,2022,lille,lyon,TRUE
France,2022,marseille,monaco,TRUE
England,2023,arsenal,chelsea,TRUE
England,2023,arsenal,liverpool,TRUE
Italy,2022,ac milan,inter,TRUE
Italy,2022,ac milan,napoli,TRUE
Italy,2022,inter,juventus,TRUE
France,2024,lille,monaco,TRUE
France,2023,lyon,marseille,TRUE
France,2023,lyon,monaco,TRUE
France,2023,lille,lyon,TRUE
France,2023,marseille,monaco,TRUE
Spain,2021,atlético,real madrid,TRUE
Spain,2021,atlético,barcelona,TRUE
Spain,2021,barcelona,real madrid,TRUE
France,2023,lille,monaco,TRUE
France,2021,lyon,marseille,TRUE
France,2021,lyon,monaco,TRUE
France,2021,marseille,monaco,TRUE
Italy,2023,ac milan,inter,TRUE
Italy,2023,ac milan,juventus,TRUE
Italy,2023,inter,juventus,TRUE
Italy,2024,ac milan,inter,TRUE
Italy,2021,ac milan,napoli,TRUE
England,2019,aston villa,norwich,TRUE
England,2019,aston villa,sheff utd,TRUE
England,2019,norwich,sheff utd,TRUE
England,2024,leicester,southampton,TRUE
France,2020,fc lorient,lens,TRUE
England,2020,liverpool,man city,TRUE
England,2024,arsenal,liverpool,TRUE
England,2024,arsenal,man city,TRUE
England,2021,liverpool,man city,TRUE
England,2024,liverpool,man city,TRUE
England,2023,liverpool,man city,TRUE
England,2022,liverpool,man city,TRUE
France,2021,fc lorient,lens,TRUE
Spain,2022,girona,ud almería,TRUE
Germany,2022,fc schalke 04,werder bremen,TRUE
England,2020,aston villa,sheff utd,TRUE
Italy,2024,lecce,monza,TRUE
Germany,2018,1.fc nuremberg,f. düsseldorf,TRUE
France,2022,fc lorient,lens,TRUE
Italy,2023,lecce,monza,TRUE
Germany,2019,sc paderborn,union berlin,TRUE
Germany,2021,greuther fürth,vfl bochum,TRUE
Spain,2023,girona,ud almería,TRUE
France,2023,fc lorient,lens,TRUE
Germany,2023,darmstadt 98,heidenheim,TRUE
England,2020,leeds,west brom,TRUE
