country,buyer_clean,total_transfers,rival_transfers,global_weighted_rival,avg_global_weight,global_pref_index
Spain,ca osasuna,16,12,36.3959793677549,2.52474871048468,2.27474871048468
Germany,1.fc köln,11,5,17.2760917920067,2.11600834472788,1.57055379927334
France,stade rennais,24,11,34.3453944733339,1.97272476972225,1.43105810305558
Spain,levante,11,5,15.4177141658044,1.94706492416403,1.40161037870949
Italy,fiorentina,14,7,19.0813104146088,1.86295074390063,1.36295074390063
Italy,lecce,5,2,6.73459165997295,1.94691833199459,1.34691833199459
Spain,getafe,18,8,23.8399817188554,1.87999898438085,1.3244434288253
Spain,rayo vallecano,13,5,14.7503384108368,1.75002603160283,1.13464141621822
France,fc metz,7,3,7.80669637252118,1.68667091036017,1.1152423389316
England,burnley,8,3,8.69114649853968,1.71139331231746,1.08639331231746
Italy,hellas verona,21,9,22.4547480927547,1.64070229013118,1.06927371870261
Germany,freiburg,15,6,15.7813577790592,1.65209051860395,1.05209051860395
England,fulham,18,6,18.8897176560776,1.71609542533765,1.04942875867098
Italy,napoli,18,6,18.2333202731278,1.67962890406266,1.01296223739599
France,angers sco,19,8,18.5601770510496,1.55579879216051,0.976851423739453
Spain,athletic club,6,2,5.77765232322266,1.62960872053711,0.962942053870443
England,newcastle,15,5,14.2699486706684,1.61799657804456,0.951329911377893
France,fc lorient,8,3,7.39018142822643,1.5487726785283,0.923772678528304
Italy,lazio,22,7,20.2179052526115,1.6008138751187,0.918995693300522
Spain,espanyol,12,4,10.985207973534,1.58210066446117,0.915433997794502
Germany,union berlin,23,7,20.8567083878746,1.60246558208151,0.906813408168462
Germany,heidenheim,4,1,3.55534806148941,1.63883701537235,0.888837015372353
Spain,villarreal,26,7,22.0320090588565,1.57815419457141,0.847384963802175
Germany,dortmund,26,7,21.0378589618692,1.53991765237958,0.809148421610352
Spain,real betis,24,7,19.2703863434081,1.511266097642,0.802932764308671
Germany,stuttgart,18,5,14.3797556142834,1.52109753412685,0.798875311904631
Italy,roma,34,10,25.4235517509252,1.45363387502721,0.747751522086035
Spain,valencia,21,5,15.2508486225384,1.4881356486923,0.726230886787541
Spain,rcd mallorca,17,5,12.1468320654859,1.42040188620505,0.714519533263876
England,man utd,17,4,11.7757896044794,1.45739938849879,0.692693506145845
England,crystal palace,18,4,12.2317403922788,1.45731891068215,0.679541132904375
Italy,sassuolo,30,7,19.7659148660282,1.42553049553427,0.658863828867606
France,stade brestois,19,5,12.3357842520518,1.38609390800273,0.64925180273957
England,nott'm forest,20,4,12.9524643406089,1.44762321703045,0.647623217030447
Italy,inter,23,6,14.722750454318,1.37925001975296,0.640119584970348
Germany,augsburg,24,5,15.2567929794099,1.42736637414208,0.635699707475412
Italy,torino,22,4,13.0162247813427,1.40982839915194,0.591646580970121
Spain,celta de vigo,14,3,8.25868149626424,1.37562010687602,0.589905821161731
Italy,atalanta,17,4,9.98044859367226,1.35179109374543,0.587085211392486
France,r. strasbourg,16,3,9.17574892720656,1.38598430795041,0.57348430795041
France,fc nantes,11,2,6.18620862390049,1.38056442035459,0.562382602172772
Italy,bologna,17,3,8.98769669570362,1.35221745268845,0.528688040923743
France,toulouse,6,1,3.04452243772342,1.34075373962057,0.507420406287237
Spain,atlético,22,4,11.142151596652,1.32464325439327,0.506461436211454
England,aston villa,25,4,11.9412473552213,1.31764989420885,0.477649894208853
Spain,girona,12,3,5.70044357339069,1.22503696444922,0.475036964449224
Italy,ac milan,20,3,9.23073106162392,1.3115365530812,0.461536553081196
England,chelsea,31,5,13.7981609196292,1.28381164256868,0.445101965149328
Spain,elche cf,6,1,2.63905732961526,1.27317622160254,0.43984288826921
England,arsenal,22,3,9.64581725415232,1.30208260246147,0.438446238825105
Italy,udinese,20,3,8.49719454490955,1.27485972724548,0.424859727245477
Germany,leipzig,21,3,8.48694014824522,1.26128286420215,0.404140007059296
Spain,sevilla fc,28,4,11.1660028124742,1.25592867187408,0.398785814731221
England,brentford,9,1,3.55534806148941,1.28392756238771,0.395038673498824
England,west ham,24,3,9.22680409800685,1.25945017075029,0.384450170750285
Italy,juventus,20,3,7.62657020629066,1.23132851031453,0.381328510314533
Italy,como,9,1,3.2188758248682,1.24654175831869,0.3576528694298
Spain,real sociedad,15,2,5.14166355650266,1.20944423710018,0.342777570433511
Italy,genoa,19,2,6.25766758788264,1.2240877677833,0.329350925678034
Italy,cagliari,10,1,3.2188758248682,1.22188758248682,0.32188758248682
England,leeds,15,2,4.47733681447821,1.16515578763188,0.298489120965214
England,bournemouth,10,1,2.89037175789616,1.18903717578962,0.289037175789616
Spain,barcelona,24,3,6.39692965521615,1.14153873563401,0.266538735634006
Germany,wolfsburg,14,1,3.40119738166216,1.17151409869015,0.242942670118725
Germany,bayern munich,21,2,5.03695260241363,1.14461679059113,0.239854885829221
Germany,werder bremen,13,1,2.70805020110221,1.13138847700786,0.208311553930939
England,everton,21,2,4.27666611901606,1.1084126723341,0.203650767572193
England,tottenham,20,1,3.2188758248682,1.11094379124341,0.16094379124341
England,Brighton,16,0,0,1,0
England,Wolves,21,0,0,1,0
England,liverpool,14,0,0,1,0
England,man city,13,0,0,1,0
France,Lille,18,0,0,1,0
France,Lyon,24,0,0,1,0
France,Marseille,21,0,0,1,0
France,Monaco,26,0,0,1,0
France,Nice,24,0,0,1,0
France,PSG,31,0,0,1,0
France,Lens,13,0,0,1,0
France,aj auxerre,6,0,0,1,0
France,le havre ac,1,0,0,1,0
Germany,Frankfurt,22,0,0,1,0
Germany,Hoffenheim,12,0,0,1,0
Germany,Leverkusen,15,0,0,1,0
Germany,Mainz,17,0,0,1,0
Germany,Mönchengladbach,13,0,0,1,0
Germany,st. pauli,2,0,0,1,0
Italy,Parma,14,0,0,1,0
Italy,cremonese,8,0,0,1,0
Spain,Alavés,16,0,0,1,0
Spain,real madrid,15,0,0,1,0
