country,buyer_clean,total_transfers,rival_transfers,league_weighted_rival,avg_league_weight,league_pref_index
Italy,lecce,5,2,3.2188758248682,1.24377516497364,0.64377516497364
Spain,ca osasuna,16,12,8.65869275368994,0.791168297105621,0.541168297105621
Spain,levante,11,5,5.54517744447956,1.04956158586178,0.504107040407233
Spain,getafe,18,8,8.84101431048389,1.04672301724911,0.49116746169355
Germany,1.fc köln,11,5,4.78749174278205,0.980681067525641,0.435226522071095
Italy,napoli,18,6,7.82404601085629,1.10133588949202,0.43466922282535
Italy,fiorentina,14,7,4.969813299576,0.854986664255429,0.354986664255429
Spain,athletic club,6,2,2.07944154167984,1.01324025694664,0.346573590279973
France,stade rennais,24,11,7.57250298502039,0.857187624375849,0.315520957709183
Italy,hellas verona,21,9,6.10924758276437,0.862345122988779,0.290916551560208
Germany,stuttgart,18,5,5.07517381523383,1.00417632306855,0.281954100846324
England,fulham,18,6,4.969813299576,0.942767405532,0.276100738865333
Germany,heidenheim,4,1,1.09861228866811,1.02465307216703,0.274653072167027
Spain,real betis,24,7,6.5792512120101,0.982468800500421,0.274135467167088
Italy,roma,34,10,9.18194089745448,0.975939438160426,0.27005708521925
Italy,torino,22,4,5.66296048013595,1.07558911273345,0.257407294551634
France,fc metz,7,3,1.79175946922806,0.827394209889722,0.255965638461151
Italy,sassuolo,30,7,7.33693691370762,1.01123123045692,0.244564563790254
Italy,atalanta,17,4,3.91202300542815,0.994824882672244,0.230119000319303
England,nott'm forest,20,4,4.56434819146784,1.02821740957339,0.228217409573392
England,man utd,17,4,3.87120101090789,0.992423588876935,0.227717706523994
Spain,rayo vallecano,13,5,2.77258872223978,0.828660670941522,0.213276055556906
Germany,freiburg,15,6,3.17805383034795,0.81187025535653,0.21187025535653
Spain,valencia,21,5,4.38202663467388,0.970572696889232,0.208667934984471
Italy,lazio,22,7,4.56434819146784,0.889288554157629,0.207470372339447
Spain,espanyol,12,4,2.484906649788,0.873742220815667,0.207075554149
Spain,rcd mallorca,17,5,3.46573590279973,0.909749170752925,0.203866817811749
France,fc nantes,11,2,2.19722457733622,1.01792950703057,0.199747688848747
Germany,union berlin,23,7,4.27666611901606,0.881594179087655,0.185942005174611
England,newcastle,15,5,2.77258872223978,0.851505914815985,0.184839248149319
Italy,udinese,20,3,3.68887945411394,1.0344439727057,0.184443972705697
Italy,bologna,17,3,2.99573227355399,0.999748957267882,0.176219545503176
Spain,villarreal,26,7,4.56434819146784,0.906321084287224,0.175551853517994
England,burnley,8,3,1.38629436111989,0.798286795139986,0.173286795139986
France,angers sco,19,8,3.17805383034795,0.746213359491997,0.167265991070945
Italy,inter,23,6,3.73766961828337,0.901637809490581,0.162507374707973
Italy,cagliari,10,1,1.38629436111989,1.03862943611199,0.138629436111989
England,arsenal,22,3,2.89037175789617,0.995016898086189,0.131380534449826
England,crystal palace,18,4,2.19722457733622,0.899845809852012,0.122068032074234
Germany,augsburg,24,5,2.89037175789616,0.912098823245674,0.120432156579007
Spain,elche cf,6,1,0.693147180559945,0.948857863426658,0.115524530093324
France,r. strasbourg,16,3,1.79175946922806,0.924484966826753,0.111984966826753
Italy,genoa,19,2,2.07944154167984,1.00418113377262,0.10944429166736
Germany,dortmund,26,7,2.77258872223978,0.837407258547684,0.106638027778453
Spain,atlético,22,4,2.19722457733622,0.918055662606192,0.0998738444243736
England,aston villa,25,4,2.484906649788,0.93939626599152,0.09939626599152
Spain,celta de vigo,14,3,1.38629436111989,0.884735311508564,0.0990210257942779
France,stade brestois,19,5,1.79175946922806,0.831145235222529,0.0943031299593713
Italy,ac milan,20,3,1.79175946922806,0.939587973461403,0.0895879734614027
Italy,juventus,20,3,1.79175946922806,0.939587973461403,0.0895879734614027
England,west ham,24,3,2.07944154167984,0.961643397569993,0.0866433975699932
Germany,leipzig,21,3,1.79175946922806,0.942464736629907,0.0853218794870502
Germany,wolfsburg,14,1,1.09861228866811,1.00704373490486,0.0784723063334364
England,brentford,9,1,0.693147180559945,0.965905242284438,0.0770163533955495
Spain,barcelona,24,3,1.79175946922806,0.949656644551169,0.074656644551169
Spain,sevilla fc,28,4,2.07944154167984,0.931408626488566,0.0742657693457084
Spain,real sociedad,15,2,1.09861228866811,0.939907485911207,0.0732408192445407
England,tottenham,20,1,1.38629436111989,1.01931471805599,0.0693147180559945
England,chelsea,31,5,1.79175946922806,0.896508369975099,0.0577986925557437
Spain,girona,12,3,0.693147180559945,0.807762265046662,0.0577622650466621
England,Brighton,16,0,0,1,0
England,Wolves,21,0,0,1,0
England,bournemouth,10,1,0,0.9,0
England,everton,21,2,0,0.904761904761905,0
England,liverpool,14,0,0,1,0
England,man city,13,0,0,1,0
England,leeds,15,2,0,0.866666666666667,0
France,Lille,18,0,0,1,0
France,Lyon,24,0,0,1,0
France,Marseille,21,0,0,1,0
France,Monaco,26,0,0,1,0
France,Nice,24,0,0,1,0
France,PSG,31,0,0,1,0
France,toulouse,6,1,0,0.833333333333333,0
France,Lens,13,0,0,1,0
France,fc lorient,8,3,0,0.625,0
France,aj auxerre,6,0,0,1,0
France,le havre ac,1,0,0,1,0
Germany,Frankfurt,22,0,0,1,0
Germany,Hoffenheim,12,0,0,1,0
Germany,Leverkusen,15,0,0,1,0
Germany,Mainz,17,0,0,1,0
Germany,Mönchengladbach,13,0,0,1,0
Germany,bayern munich,21,2,0,0.904761904761905,0
Germany,werder bremen,13,1,0,0.923076923076923,0
Germany,st. pauli,2,0,0,1,0
Italy,Parma,14,0,0,1,0
Italy,cremonese,8,0,0,1,0
Italy,como,9,1,0,0.888888888888889,0
Spain,Alavés,16,0,0,1,0
Spain,real madrid,15,0,0,1,0
